Edad Simple;Provincias;Sexo;Periodo;Total
1 año;34 Palencia;Mujeres;1 de julio de 2021;455,500000
1 año;35 Palmas, Las;Hombres;1 de julio de 2021;3.789,500000
1 año;35 Palmas, Las;Mujeres;1 de julio de 2021;3.621,000000
1 año;36 Pontevedra;Hombres;1 de julio de 2021;3.010,000000
1 año;36 Pontevedra;Mujeres;1 de julio de 2021;2.865,000000
1 año;26 Rioja, La;Hombres;1 de julio de 2021;1.220,000000
1 año;26 Rioja, La;Mujeres;1 de julio de 2021;1.191,500000
1 año;37 Salamanca;Hombres;1 de julio de 2021;974,500000
1 año;37 Salamanca;Mujeres;1 de julio de 2021;918,500000
1 año;38 Santa Cruz de Tenerife;Hombres;1 de julio de 2021;3.293,500000
1 año;38 Santa Cruz de Tenerife;Mujeres;1 de julio de 2021;3.160,000000
1 año;40 Segovia;Hombres;1 de julio de 2021;489,000000
1 año;40 Segovia;Mujeres;1 de julio de 2021;507,500000
1 año;41 Sevilla;Hombres;1 de julio de 2021;8.252,000000
1 año;41 Sevilla;Mujeres;1 de julio de 2021;7.745,000000
1 año;42 Soria;Hombres;1 de julio de 2021;313,500000
1 año;42 Soria;Mujeres;1 de julio de 2021;273,000000
1 año;43 Tarragona;Hombres;1 de julio de 2021;3.386,500000
1 año;43 Tarragona;Mujeres;1 de julio de 2021;3.206,500000
1 año;44 Teruel;Hombres;1 de julio de 2021;477,500000
1 año;44 Teruel;Mujeres;1 de julio de 2021;490,000000
1 año;45 Toledo;Hombres;1 de julio de 2021;2.939,000000
1 año;45 Toledo;Mujeres;1 de julio de 2021;2.753,000000
1 año;46 Valencia/València;Hombres;1 de julio de 2021;9.737,500000
1 año;46 Valencia/València;Mujeres;1 de julio de 2021;9.141,000000
1 año;47 Valladolid;Hombres;1 de julio de 2021;1.680,500000
1 año;47 Valladolid;Mujeres;1 de julio de 2021;1.639,500000
1 año;49 Zamora;Hombres;1 de julio de 2021;443,500000
1 año;49 Zamora;Mujeres;1 de julio de 2021;375,000000
1 año;50 Zaragoza;Hombres;1 de julio de 2021;3.587,500000
1 año;50 Zaragoza;Mujeres;1 de julio de 2021;3.403,000000
1 año;51 Ceuta;Hombres;1 de julio de 2021;419,500000
1 año;51 Ceuta;Mujeres;1 de julio de 2021;391,000000
1 año;52 Melilla;Hombres;1 de julio de 2021;552,500000
1 año;52 Melilla;Mujeres;1 de julio de 2021;518,000000
2 años;02 Albacete;Hombres;1 de julio de 2021;1.549,000000
2 años;02 Albacete;Mujeres;1 de julio de 2021;1.441,500000
2 años;03 Alicante/Alacant;Hombres;1 de julio de 2021;7.685,000000
2 años;03 Alicante/Alacant;Mujeres;1 de julio de 2021;7.136,500000
2 años;04 Almería;Hombres;1 de julio de 2021;3.857,500000
2 años;04 Almería;Mujeres;1 de julio de 2021;3.638,000000
2 años;01 Araba/Álava;Hombres;1 de julio de 2021;1.366,000000
2 años;01 Araba/Álava;Mujeres;1 de julio de 2021;1.305,000000
2 años;33 Asturias;Hombres;1 de julio de 2021;2.901,500000
2 años;33 Asturias;Mujeres;1 de julio de 2021;2.727,000000
2 años;05 Ávila;Hombres;1 de julio de 2021;514,500000
2 años;05 Ávila;Mujeres;1 de julio de 2021;502,500000
2 años;06 Badajoz;Hombres;1 de julio de 2021;2.704,000000
2 años;06 Badajoz;Mujeres;1 de julio de 2021;2.548,000000
2 años;07 Balears, Illes;Hombres;1 de julio de 2021;5.283,500000
2 años;07 Balears, Illes;Mujeres;1 de julio de 2021;4.956,500000
2 años;08 Barcelona;Hombres;1 de julio de 2021;23.862,500000
2 años;08 Barcelona;Mujeres;1 de julio de 2021;22.810,500000
2 años;48 Bizkaia;Hombres;1 de julio de 2021;4.098,000000
2 años;48 Bizkaia;Mujeres;1 de julio de 2021;3.889,000000
2 años;09 Burgos;Hombres;1 de julio de 2021;1.274,000000
2 años;09 Burgos;Mujeres;1 de julio de 2021;1.186,000000
2 años;10 Cáceres;Hombres;1 de julio de 2021;1.308,500000
2 años;10 Cáceres;Mujeres;1 de julio de 2021;1.282,000000
2 años;11 Cádiz;Hombres;1 de julio de 2021;5.322,000000
2 años;11 Cádiz;Mujeres;1 de julio de 2021;4.949,000000
2 años;39 Cantabria;Hombres;1 de julio de 2021;1.945,000000
2 años;39 Cantabria;Mujeres;1 de julio de 2021;1.863,000000
2 años;12 Castellón/Castelló;Hombres;1 de julio de 2021;2.455,500000
2 años;12 Castellón/Castelló;Mujeres;1 de julio de 2021;2.276,500000
2 años;13 Ciudad Real;Hombres;1 de julio de 2021;1.914,000000
2 años;13 Ciudad Real;Mujeres;1 de julio de 2021;1.788,500000
2 años;14 Córdoba;Hombres;1 de julio de 2021;3.145,500000
2 años;14 Córdoba;Mujeres;1 de julio de 2021;3.015,500000
2 años;15 Coruña, A;Hombres;1 de julio de 2021;3.656,500000
2 años;15 Coruña, A;Mujeres;1 de julio de 2021;3.406,500000
2 años;16 Cuenca;Hombres;1 de julio de 2021;725,000000
2 años;16 Cuenca;Mujeres;1 de julio de 2021;672,500000
2 años;20 Gipuzkoa;Hombres;1 de julio de 2021;2.756,000000
2 años;20 Gipuzkoa;Mujeres;1 de julio de 2021;2.623,500000
2 años;17 Girona;Hombres;1 de julio de 2021;3.488,000000
2 años;17 Girona;Mujeres;1 de julio de 2021;3.341,000000
2 años;18 Granada;Hombres;1 de julio de 2021;3.977,000000
2 años;18 Granada;Mujeres;1 de julio de 2021;3.790,500000
2 años;19 Guadalajara;Hombres;1 de julio de 2021;1.172,500000
2 años;19 Guadalajara;Mujeres;1 de julio de 2021;1.115,500000
2 años;21 Huelva;Hombres;1 de julio de 2021;2.283,000000
2 años;21 Huelva;Mujeres;1 de julio de 2021;2.215,000000
2 años;22 Huesca;Hombres;1 de julio de 2021;876,000000
2 años;22 Huesca;Mujeres;1 de julio de 2021;793,000000
2 años;23 Jaén;Hombres;1 de julio de 2021;2.486,500000
2 años;23 Jaén;Mujeres;1 de julio de 2021;2.335,500000
2 años;24 León;Hombres;1 de julio de 2021;1.318,500000
2 años;24 León;Mujeres;1 de julio de 2021;1.237,500000
2 años;25 Lleida;Hombres;1 de julio de 2021;1.875,500000
2 años;25 Lleida;Mujeres;1 de julio de 2021;1.759,000000
2 años;27 Lugo;Hombres;1 de julio de 2021;954,000000
2 años;27 Lugo;Mujeres;1 de julio de 2021;919,000000
2 años;28 Madrid;Hombres;1 de julio de 2021;29.174,000000
2 años;28 Madrid;Mujeres;1 de julio de 2021;27.565,500000
2 años;29 Málaga;Hombres;1 de julio de 2021;7.210,500000
2 años;29 Málaga;Mujeres;1 de julio de 2021;6.815,500000
2 años;30 Murcia;Hombres;1 de julio de 2021;7.504,000000
2 años;30 Murcia;Mujeres;1 de julio de 2021;7.206,500000
2 años;31 Navarra;Hombres;1 de julio de 2021;2.863,500000
2 años;31 Navarra;Mujeres;1 de julio de 2021;2.721,500000
2 años;32 Ourense;Hombres;1 de julio de 2021;772,000000
2 años;32 Ourense;Mujeres;1 de julio de 2021;739,000000
2 años;34 Palencia;Hombres;1 de julio de 2021;489,500000
2 años;34 Palencia;Mujeres;1 de julio de 2021;476,500000
2 años;35 Palmas, Las;Hombres;1 de julio de 2021;4.059,000000
2 años;35 Palmas, Las;Mujeres;1 de julio de 2021;3.825,500000
2 años;36 Pontevedra;Hombres;1 de julio de 2021;3.203,500000
2 años;36 Pontevedra;Mujeres;1 de julio de 2021;2.924,000000
2 años;26 Rioja, La;Hombres;1 de julio de 2021;1.248,500000
2 años;26 Rioja, La;Mujeres;1 de julio de 2021;1.215,500000
2 años;37 Salamanca;Hombres;1 de julio de 2021;1.059,500000
2 años;37 Salamanca;Mujeres;1 de julio de 2021;998,000000
2 años;38 Santa Cruz de Tenerife;Hombres;1 de julio de 2021;3.643,000000
2 años;38 Santa Cruz de Tenerife;Mujeres;1 de julio de 2021;3.412,500000
2 años;40 Segovia;Hombres;1 de julio de 2021;529,000000
2 años;40 Segovia;Mujeres;1 de julio de 2021;545,000000
2 años;41 Sevilla;Hombres;1 de julio de 2021;8.698,500000
2 años;41 Sevilla;Mujeres;1 de julio de 2021;8.203,000000
2 años;42 Soria;Hombres;1 de julio de 2021;319,500000
2 años;42 Soria;Mujeres;1 de julio de 2021;293,500000
2 años;43 Tarragona;Hombres;1 de julio de 2021;3.625,500000
2 años;43 Tarragona;Mujeres;1 de julio de 2021;3.360,500000
2 años;44 Teruel;Hombres;1 de julio de 2021;504,500000
2 años;44 Teruel;Mujeres;1 de julio de 2021;487,500000
2 años;45 Toledo;Hombres;1 de julio de 2021;3.142,000000
2 años;45 Toledo;Mujeres;1 de julio de 2021;2.982,000000
2 años;46 Valencia/València;Hombres;1 de julio de 2021;10.193,000000
2 años;46 Valencia/València;Mujeres;1 de julio de 2021;9.608,000000
2 años;47 Valladolid;Hombres;1 de julio de 2021;1.796,000000
2 años;47 Valladolid;Mujeres;1 de julio de 2021;1.712,500000
2 años;49 Zamora;Hombres;1 de julio de 2021;458,000000
2 años;49 Zamora;Mujeres;1 de julio de 2021;417,000000
2 años;50 Zaragoza;Hombres;1 de julio de 2021;3.845,500000
2 años;50 Zaragoza;Mujeres;1 de julio de 2021;3.604,500000
2 años;51 Ceuta;Hombres;1 de julio de 2021;411,000000
2 años;51 Ceuta;Mujeres;1 de julio de 2021;447,000000
2 años;52 Melilla;Hombres;1 de julio de 2021;626,000000
2 años;52 Melilla;Mujeres;1 de julio de 2021;584,000000
3 años;02 Albacete;Hombres;1 de julio de 2021;1.693,000000
3 años;02 Albacete;Mujeres;1 de julio de 2021;1.532,500000
3 años;03 Alicante/Alacant;Hombres;1 de julio de 2021;8.116,000000
3 años;03 Alicante/Alacant;Mujeres;1 de julio de 2021;7.679,000000
3 años;04 Almería;Hombres;1 de julio de 2021;3.978,000000
3 años;04 Almería;Mujeres;1 de julio de 2021;3.753,500000
3 años;01 Araba/Álava;Hombres;1 de julio de 2021;1.481,500000
